business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,rating,American,Mexican,Chinese,Italian,Coffee&Tea,Sandwiches,Pizza
16424,Sam's Market,580 Precita Ave,San Francisco,CA,94110,37.747496,-122.40957,"(37.747496, -122.40957)",,16424_20151229,12/29/2015 12:00:00 AM,92,Routine - Unscheduled,16424_20151229_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,1,0,0,0,0,0,0,0
5988,Curry Senior Center,333 Turk St,San Francisco,CA,94102,37.782703,-122.414527,"(37.782703, -122.414527)",,5988_20150116,01/16/2015 12:00:00 AM,83,Routine - Unscheduled,5988_20150116_103139,Improper food storage,Low Risk,5,0,0,0,0,0,0,0
5982,SF Senior Center at Aquatic Park Meals Program,890 Beach St,San Francisco,CA,94109,37.806258,-122.423704,"(37.806258, -122.423704)",,5982_20160418,04/18/2016 12:00:00 AM,96,Routine - Unscheduled,5982_20160418_103131,Moderate risk vermin infestation,Moderate Risk,4,0,0,0,0,0,0,0
5980,Presentation Adult Day Health,301 Ellis St,San Francisco,CA,94102,37.785033,-122.411458,"(37.785033, -122.411458)",,5980_20160712,07/12/2016 12:00:00 AM,100,Routine - Unscheduled,,,,5,0,0,0,0,0,0,0
5986,Golden Gate Day Health (St. Anthony),350 Golden Gate Ave,San Francisco,CA,94109,37.781568,-122.416373,"(37.781568, -122.416373)",,5986_20150702,07/02/2015 12:00:00 AM,100,Routine - Unscheduled,,,,4.5,0,0,0,0,0,0,0
5985,San Francisco Senior Center Downtown Branch,481 O'Farrell St,San Francisco,CA,94102,37.785789,-122.412648,"(37.785789, -122.412648)",,5985_20160129,01/29/2016 12:00:00 AM,100,Routine - Unscheduled,,,,4,0,0,0,0,0,0,0
82441,Crazy Gringo Taco Wagon Salsa,3251 20th Ave,San Francisco,CA,,,,,,82441_20161009,10/09/2016 12:00:00 AM,100,Routine - Unscheduled,,,,4,0,1,0,0,0,0,0
87967,Bay Area Hot Dogs,450 05 St,San Francisco,CA,94107,,,,,87967_20161019,10/19/2016 12:00:00 AM,100,Routine - Unscheduled,,,,4.5,0,0,0,0,0,0,0
82196,Toast Eatery,1748 Church St,San Francisco,CA,94131,,,,14155284328,82196_20160923,09/23/2016 12:00:00 AM,91,Routine - Unscheduled,82196_20160923_103103,High risk food holding temperature,High Risk,3.5,0,0,0,0,1,1,0
74010,Miraloma Market,755 Portola Dr,San Francisco,CA,94127,,,,14155682474,74010_20140605,06/05/2014 12:00:00 AM,77,Routine - Unscheduled,74010_20140605_103114,High risk vermin infestation,High Risk,3.5,0,0,0,0,0,0,0
